titulo;autores;isbn;calificacion_promedio
The Complete Green Letters;Miles J. Stanford;310330513;4.2
High Five (Stephanie Plum #5);Janet Evanovich;312203039;4.18
Naked;David Sedaris-Amy Sedaris;1586212230;4.09
The Last Shot: City Streets  Basketball Dreams;Darcy Frey;618446710;4.16
The Inner Sanctum;Stephen W. Frey;451190149;3.62
Life on Planet Rock: From Guns N' Roses to NIRVana  a Backstage Journey Through Rock's Most Debauched Decade;Lonn Friend;767922085;3.58
Principle-Centered Leadership;Stephen R. Covey;671792806;4.09
7 hábitos de las familias altamente efectivas;Stephen R. Covey;1400083419;4.15
First Things First;Stephen R. Covey;743468597;4.09
Fablehaven (Fablehaven  #1);Brandon Mull;1590385810;4.09
The Belgariad Boxed Set: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit / Castle of Wizardry / Enchanters' End Game (The Belgariad  #1-5);David Eddings;345340442;4.27
El 8o Habito: de La Efectividad a la Grandeza;Stephen R. Covey;9501211045;4.01
First Things First;Stephen R. Covey-A. Roger Merrill-Rebecca R. Merrill;684858401;4.09
Queen of Sorcery (The Belgariad  #2);David Eddings;552148083;4.14
Castle of Wizardry (The Belgariad  #4);David Eddings;552148105;4.17
The Leadership Challenge: Skills for Taking Charge;Warren G. Bennis;088684049X;0.0
Fullmetal Alchemist  Vol. 6 (Fullmetal Alchemist  #6);Hiromu Arakawa-Akira Watanabe;1421503190;4.58
The Elements of Typographic Style;Robert Bringhurst;881792063;4.24
The Elements of Visual Style: The Basics of Print Design for Every PC and Mac User;Robert W. Harris;618772456;3.25
Graphic Design Solutions;Robin Landa;1401881548;4.03
The Mask of the Enchantress;Victoria Holt;449210847;3.84
Secret for a Nightingale;Victoria Holt;449212963;3.82
The Devil On Horseback;Victoria Holt;449236250;3.79
Bride Of Pendorric / The Shadow Of Lynx / King Of The Castle / Mistress Of Mellyn;Victoria Holt;090571251X;4.22
The Silk Vendetta;Victoria Holt;449215482;3.82
Curse Of The Kings;Victoria Holt;044920068X;3.76
Purple Cane Road (Dave Robicheaux  #11);James Lee Burke;440224047;4.15
Parliament of Whores: A Lone Humorist Attempts to Explain the Entire U.S. Government;P.J. O'Rourke;802139701;4.01
Monkeewrench (Monkeewrench  #1);P.J. Tracy;045121157X;4.12
P. J. Funnybunny Camps Out;Marilyn Sadler-Roger Bollen;679832696;3.86
Lo único que no podrás hacer en el cielo;Mark Cahill;964366568;4.13
De profundis;Oscar Wilde;8484034348;4.18
Un amour de swann (À la recherche du temps perdu  #1.2);Marcel Proust;2035882133;3.91
Serious Girls;Maxine Swann;312288018;3.19
Deadly Love (Francesca Cahill Deadly  #1);Brenda Joyce;312977670;3.98
Exiled in Paris: Richard Wright  James Baldwin  Samuel Beckett and Others on the Left Bank;James    Campbell;520234413;3.97
The Price of the Ticket: Collected Nonfiction  1948-1985;James Baldwin;312643063;4.7
The Portable James Joyce;James Joyce-Harry Levin;140150307;4.16
2006 International Building Code;International Code Council (ICC);1580012515;3.5
Einstein's Monsters;Martin Amis-Erroll McDonald;679729968;3.4
International Plumbing Code 2006;International Code Council (ICC);1580012590;3.5
International Building Code 2003;International Code Council (ICC);1892395568;3.62
The Major Works;Alexander Pope-Pat Rogers;019920361X;3.88
Poetry and Prose of Alexander Pope (Riverside Editions);Alexander Pope-Aubrey Williams;395051568;3.91
The Poems of Alexander Pope;Alexander Pope-John  Ball-John Everett Butt;300000308;3.95
Illustrated Guide to the NEC: Based on the 2005 National Electric Code;Charles R. Miller;1401850685;4.06
Surfer's Code: Twelve Simple Lessons For Riding Through Life;Shaun Tomson-Patrick Moser;1423600762;3.81
Code Orange;Caroline B. Cooney;385732597;3.64
Code;Charles Petzold;735611319;4.38
Brando Unzipped: A Revisionist and Very Private Look at America's Greatest Actor;Darwin Porter;974811823;3.55
The Kid Stays in the Picture;Robert  Evans;571219314;3.91
Measle and the Dragodon;Ian Ogilvy;60586907;3.96
The Unpublished David Ogilvy;David Ogilvy-Joel Raphaelson;517566095;4.17
The Alchemist’s Kitchen: Extraordinary Potions & Curious Notions;Guy Ogilvy;802715400;4.02
Writing Down the Bones: Freeing the Writer Within;Natalie Goldberg;1590303164;4.18
Black Hawk Down: A Story of Modern War;Mark Bowden;451205146;4.29
Writing Secure Code;Michael  Howard-David LeBlanc;735617228;4.01
Working Effectively with Legacy Code;Michael C. Feathers;131177052;4.12
Explode the Code 1;Nancy Hall;838814603;4.43
Down the Long Hills;Louis L'Amour;553280813;4.06
The Glass Books of the Dream Eaters (Miss Temple  Doctor Svenson  and Cardinal Chang  #1);Gordon Dahlquist;385340354;3.5
Breaking the Maya Code;Michael D. Coe;500281335;4.03
Refactoring: Improving the Design of Existing Code;Martin Fowler-Kent Beck-Don Roberts-Erich Gamma;201485672;4.23
The Heart's Code: Tapping the Wisdom and Power of Our Heart Energy;Paul Pearsall-Gary E. Schwartz-Linda G. Russek;767900952;3.98
Write Great Code: Volume 1: Understanding the Machine;Randall Hyde;1593270038;3.91
Code of the Samurai: A Modern Translation of the Bushido Shoshinshu of Taira Shigesuke;Daidōji Yūzan-Oscar Ratti-Thomas Cleary;804831904;4.04
Code: And Other Laws of Cyberspace;Lawrence Lessig;465039138;3.94
Landscape Within: Insights and Inspirations for Photographers;David   Ward-Joe Cornish;190253834X;4.36
Bob Marley - Songs of Freedom;Bob Marley;793536693;4.47
Such a Good Girl and Other Crime Stories;Ed Gorman-Richard Laymon;786229985;3.6
Howards End;E.M. Forster-Nadia May;786168471;3.96
Three Complete Novels: Howards End  A Room with a View  Where Angels Fear to Tread;E.M. Forster-Neil Felshman;517091267;4.2
Kim;Rudyard Kipling;486445089;3.72
Kim;Rudyard Kipling-Pankaj Mishra;812971345;3.72
The Island at the Center of the World: The Epic Story of Dutch Manhattan and the Forgotten Colony That Shaped America;Russell Shorto;1400078679;4.13
The Bard's Tale: Prima's Official Strategy Guide;Craig Keller;761545646;4.17
The Free Bards (Bardic Voices  #1-3);Mercedes Lackey;067187778X;4.18
Insurgency and Terrorism: From Revolution to Apocalypse;Bard E. O'Neill;1574881728;3.92
Shakespeare's Landlord (Lily Bard  #1);Charlaine Harris;425206866;3.76
Liturgies of the Western Church;Bard Thompson;800614283;3.96
Bedlam's Bard (Bedlam Bard  #1-2);Mercedes Lackey-Ellen Guon;141653282X;3.95
Mansfield Park;Jane Austen-Kathryn Sutherland;141439807;3.85
Mansfield Park;Jane Austen-James Kinsley-Jane Stabler;019280264X;3.85
Walking the Rez Road;Jim Northrup;089658321X;4.15
Mansfield Park;Jane Austen-Carol Shields;375757813;3.85
Mansfield Park;Jane Austen;755331478;3.85
Mansfield Park;Jane Austen;140620664;3.85
The Mini Zen Gardening Kit;Daniel Abdal-Hayy Moore;762408286;3.21
The Zen Gardening Kit/Book and Japanese Rock Garden;Daniel Abdal-Hayy Moore;1561381489;3.21
Stalky & Co.;Rudyard Kipling;1406503258;3.9
The Mill on the Floss;George Eliot-Carol T. Christ;393963322;3.79
The Poems Of Anne Brontë: A New Text And Commentary;Anne Brontë-Edward Chitham;333243439;4.02
Zen in Your Garden;Jenny Hendy;1841811106;3.6
Agnes Grey;Anne Brontë-Fred Schwarzbach;1593083238;3.68
Agnes Grey;Anne Brontë;140621083;3.68
Agnes Grey;Anne Brontë;1582791805;3.68
Ship of Magic (Liveship Traders  #1);Robin Hobb;000649885X;4.15
The Mad Ship (Liveship Traders  #2);Robin Hobb;6498868;4.24
Ship of Destiny (Liveship Traders  #3);Robin Hobb;553575651;4.22
Forest Mage (Soldier Son  #2);Robin Hobb;60757639;3.38
Assassin's Apprentice (Farseer Trilogy  #1);Robin Hobb;6480098;4.15
Golden Fool (Tawny Man  #2);Robin Hobb;553582453;4.34
Assassin's Quest (Farseer Trilogy  #3);Robin Hobb;553565699;4.19
Der lohfarbene Mann (Die zweiten Chroniken von Fitz  dem Weitseher  #1);Robin Hobb;3404283368;4.31
The Scold's Bridle;Minette Walters;312956126;3.95
Fox Evil;Minette Walters;425214923;3.59
The Devil's Feather;Minette Walters;307264629;3.62
The Breaker;Minette Walters;515128821;3.62
The Echo;Minette Walters;515122564;3.63
A Painted House;John Grisham;99416158;3.69
Ecuador Nature Guide: Southwest Forests:  Sozoranga Forest Project;Chris Jiggins-Pablo Andrade-Eduardo Cueva;1551052709;5.0
D is for Dahl: A gloriumptious A-Z guide to the world of Roald Dahl;Wendy Cooling-Quentin Blake-Roald Dahl;670060232;4.08
The Roald Dahl Audio Collection;Roald Dahl;61214965;4.41
Step on a Crack (Michael Bennett  #1);James Patterson-Michael Ledwidge;316013943;4.01
The Railway Children;E. Nesbit;140621628;4.0
Five Children and It (Five Children #1);E. Nesbit;140367357;3.88
Five Children and It;E. Nesbit-Gillian Avery;143039156;3.88
The Enchanted Castle;E. Nesbit-H.R. Millar;140367438;3.85
Treasure Island #2: Off to Sea (Easy Reader Classics);Catherine Nichols-Sally Wern Comport-Robert Louis Stevenson;1402732988;4.17
A Passage to India: A Reader's Guide to Essential Criticism;Betty Jay;184046027X;3.56
A Passage to India;E.M. Forster-Oliver Stallybrass-Pankaj Mishra;014144116X;3.68
A Passage To India;E.M. Forster-Oliver Stallybrass;141183101;3.68
A Passage to India;E.M. Forster;140274235;3.68
A Passage to India;E.M. Forster;151010684;3.68
No Name;Wilkie Collins-Virginia Blain;019283388X;3.92
Miss or Mrs?/ The Haunted Hotel/ The Guilty River;Wilkie Collins-Norman Page-Toru Sasaki;192833073;3.79
The Law and the Lady;Wilkie Collins-David Skilton;140436073;3.8
The Woman In White;Wilkie Collins;185715018X;3.99
Armadale;Wilkie Collins-Catharine Peters;192834673;3.91
I Never Promised You a Rose Garden;Hannah  Green-Joanne Greenberg;451160312;3.86
I Never Promised You a Rose Garden;Hannah  Green-Joanne Greenberg;451131363;3.86
The Gun Seller;Hugh Laurie;067102082X;3.68
The Neutronium Alchemist 2: Conflict (Night's Dawn 2);Peter F. Hamilton;446605468;4.33
Judas Unchained;Peter F. Hamilton-Marta García Martínez;345461665;4.31
The Reality Dysfunction (Night's Dawn  #1);Peter F. Hamilton;330340328;4.14
Misspent Youth;Peter F. Hamilton;330480227;3.4
A Quantum Murder (Greg Mandel  #2);Peter F. Hamilton;812555244;3.97
Judas Unchained (Commonwealth Saga  #2);Peter F. Hamilton;345461673;4.31
Pandora's Star;Peter F. Hamilton;345461622;4.24
Mindstar Rising (Greg Mandel  #1);Peter F. Hamilton;812590562;3.92
The Reality Dysfunction Part 2: Expansion (Night's Dawn 1);Peter F. Hamilton;446605166;4.3
A Second Chance at Eden;Peter F. Hamilton;330351826;4.02
Fallen Dragon;Peter F. Hamilton;330480065;4.07
Anthony Thwaite: In Conversation With Peter Dale and Ian Hamilton;Peter  Dale-Ian Hamilton-Anthony Thwaite;953284123;0.0
Doisneau;Peter Hamilton-Robert Doisneau-David    Elliott;1900826240;4.38
Quicksilver (The Baroque Cycle  #1);Neal Stephenson;641650698;3.93
Quicksilver (The Baroque Cycle  Vol. 1  Book 1);Neal Stephenson;60833165;4.12
Criptonomicón II: El código Pontifex;Neal Stephenson-Pedro Jorge Romero;8466616926;4.12
Quicksilver (The Baroque Cycle  #1);Neal Stephenson;434008176;3.93
Le Samouraï virtuel;Neal Stephenson-Guy Abadia;2253072214;4.03
Todo está iluminado;Jonathan Safran Foer;8497930975;3.9
JPod;Douglas Coupland;8476697481;3.71
Poetry and Prose;Walt Whitman-Justin Kaplan;1883011353;4.3
The Portable Walt Whitman;Walt Whitman-Michael Warner;142437689;4.33
Walt Whitman's America;David S. Reynolds;679767096;4.17
Walt Whitman: A Life;Justin Kaplan;60535113;3.99
Walt Whitman: Words for America;Barbara Kerley-Brian Selznick;439357918;4.05
Love  Hate and Everything in Between: Expressing Emotions in Japanese;Mamiko Murakami-Ernest Reiss;4770028032;3.54
Blind Willow  Sleeping Woman;Haruki Murakami-Jay Rubin-Philip Gabriel;1400096081;3.84
Al sur de la frontera  al oeste del sol;Haruki Murakami-Lourdes Porta;9706991829;3.87
Haruki Murakami and the Music of Words;Jay Rubin;1860469868;3.82
Hard-Boiled Wonderland and the End of the World;Haruki Murakami-Alfred Birnbaum;4770015445;4.15
The Wind-Up Bird Chronicle;Haruki Murakami-Jay Rubin;679446699;4.17
After the Quake;Haruki Murakami-Jay Rubin;375413901;3.78
Kafka on the Shore;Haruki Murakami-Philip Gabriel;1400043662;4.13
Sputnik Sweetheart;Haruki Murakami-Philip Gabriel;375411690;3.82
Naokos Lächeln. Nur Eine Liebesgeschichte;Haruki Murakami;3770156099;4.03
Mister Aufziehvogel;Haruki Murakami-Giovanni Bandini-Ditte Bandini;3770144791;4.17
Democracy Matters: Winning the Fight Against Imperialism;Cornel West;143035835;3.94
Joseph Cornell: Secrets in a Box (Adventures in Art);Alison Baverstock-Joseph Cornell-Christopher Wynne;3791329286;4.06
Mandala: Luminous Symbols for Healing (with a New CD of Meditations and Exercises!);Judith Cornell-Joan Borysenko-Miron Borysenko;835608476;4.14
Dime-Store Alchemy: The Art of Joseph Cornell;Charles Simic;1590171705;4.21
Night Has a Thousand Eyes;Cornell Woolrich;1933648279;3.77
Rendezvous in Black;Cornell Woolrich-Richard Dooling;812971450;3.96
The Nixie's Song (Beyond the Spiderwick Chronicles  #1);Tony DiTerlizzi-Holly Black;689871317;3.73
When the Darkness Will Not Lift: Doing What We Can While We Wait for God—And Joy;John Piper;1581348762;4.12
Desiring God: Meditations of a Christian Hedonist;John Piper;1844740447;4.14
Suffering and the Sovereignty of God;John Piper-Justin Taylor-Mark Talbot-David A. Powlison-Steve Saint-Dustin Shramek-Carl Ellis;1581348096;4.31
When I Don't Desire God: How to Fight for Joy;John Piper;1581346522;4.18
The Legacy of Sovereign Joy: God's Triumphant Grace in the Lives of Augustine  Luther  and Calvin (The Swans Are Not Silent  #1);John Piper;1581348134;4.26
The Hidden Smile of God: The Fruit of Affliction in the Lives of John Bunyan  William Cowper  and David Brainerd (The Swans Are Not Silent  #2);John Piper;1581342470;4.33
The Passion of Jesus Christ;John Piper;1581346085;4.23
Arthur & George;Julian Barnes;1400097037;3.7
Wartime Lies;Louis Begley;449001172;3.7
Schmidt Delivered (Schmidt  #2);Louis Begley;345440838;3.59
Territorio comanche;Arturo Pérez-Reverte;8478950257;3.83
The Brave Women of the Gulf Wars: Operation Desert Storm and Operation Iraqi Freedom;Karen Zeinert-Mary Miller;761327053;4.0
The Classic Ten: The True Story of the Little Black Dress and Nine Other Fashion Favorites;Nancy MacDonell Smith-Nancy MacDonell;142003565;3.43
The Locked Room (The New York Trilogy  #3);Paul Auster;140097368;3.89
The Home Front;Brian Braithwaite-Noelle Walsh-Glyn Davies;852237510;3.4
Half Moon Investigations;Eoin Colfer;786849606;3.76
The Supernaturalist;Eoin Colfer;078685149X;3.85
The Wish List;Eoin Colfer;439443369;3.77
Legend of the Worst Boy in the World;Eoin Colfer-Glenn McCoy;786855037;3.74
The Legend of Spud Murphy;Eoin Colfer-Glenn McCoy;786855010;3.88
Mission Polaire (Artemis Fowl  #2);Eoin Colfer;2070536785;3.95
La venganza de Opal (Artemis Fowl  #4);Eoin Colfer-Ana Alcaina;307344673;4.05
Going Potty;Eoin Colfer;862786029;3.17
The Arctic Incident (Artemis Fowl  #2);Eoin Colfer;141312130;3.95
Artemis Fowl (Artemis Fowl  #1);Eoin Colfer-Claudia Feldmann;3548603203;3.84
La última oportunidad;Eoin Colfer;307350053;3.77
Artemis Fowl (Artemis Fowl  #1);Eoin Colfer-Ana Alcaina;8497939204;3.84
El Cubo B (Artemis Fowl  #3);Eoin Colfer;950908011X;4.05
La venganza de opal (Artemis Fowl  #4);Eoin Colfer;8484412474;4.05
Encuentro en el Ártico (Artemis Fowl  #2);Eoin Colfer-Ana Alcaina Pérez;307343103;3.95
Artemis Fowl (Artemis Fowl  #1);Eoin Colfer-Nathaniel Parker;1400085918;3.84
Code Eternité (Artemis Fowl  #3);Eoin Colfer-Jean-François Ménard;2070554031;4.05
Treasury of American Tall Tales: Volume 1: Davy Crockett  Rip Van Winkle  Johnny Appleseed  Paul Bunyan (Rabbit Ears);David Bromberg-Jay Ungar-Molly Mason-Garrison Keillor-Mark O'Connor-Jonathan Winters-Duck Baker-Washington Irving-Anjelica Huston-Nicolas Cage-Leo Kottke;739336509;3.86
The White Cat  Fool and the Flying Ship (Rabbit Ears Treasury of World Tales #2);Unknown-Emma Thompson-Robin  Williams;739350617;4.31
The Subtle Knife (His Dark Materials  #2);Philip Pullman-Ian Beck;375846727;4.12
The Amber Spyglass (His Dark Materials  #3);Philip Pullman-Ian Beck;375846735;4.09
The Subtle Knife (His Dark Materials  #2);Philip Pullman;807210471;4.12
His Dark Materials (His Dark Materials  #1-3);Philip Pullman;375847227;4.26
El catalejo lacado (La Materia Oscura  #3);Philip Pullman;8440699476;4.09
His Dark Materials Omnibus (His Dark Materials);Philip Pullman;375947221;4.26
His Dark Materials;Nicholas Wright-Philip Pullman;435233394;4.04
Northern Lights (His Dark Materials  #1);Philip Pullman;439994128;3.96
El alquimista: una fábula para seguir tus sueños;Paulo Coelho-Juan Godó Costa;62511408;3.85
El alquimista;Paulo Coelho;970051336X;3.85
El Alquimista;Paulo Coelho-Juan Godó Costa;950742895X;3.85
La conspiración de los alquimistas;Hania Czajkowski;030727411X;4.03
El Alquimista: Edicion Illustrada: Edicion Illustrada;Paulo Coelho;61351342;3.85
The Call of the Mall: How we shop;Paco Underhill;1861974426;3.6
Die Broke: A Radical Four-Part Financial Plan;Stephen M. Pollan-Mark LeVine;887309429;3.62
Live Rich  Die Broke;Stephen M. Pollan;1594860165;3.29
The Die Broke Financial Problem Solver;Stephen M. Pollan-Mark LeVine;66619912;2.5
Montaillou: The Promised Land of Error;Emmanuel Le Roy Ladurie-Barbara Bray;394729641;3.97
Montaillou: Cathars and Catholics in a French Village 1294-1324;Emmanuel Le Roy Ladurie-Barbara Bray;140137009;3.97
Montaillou  village occitan de 1294 à 1324;Emmanuel Le Roy Ladurie-Emmanuel Le Roy-Ladurie;2070323285;3.97
Montaillou: Cathars and Catholics in a French Village  1294-1324;Emmanuel Le Roy Ladurie-Barbara Bray;140054715;3.97
Montaillou: Een ketters dorp in de Pyreneeën 1294-1324;Emmanuel Le Roy Ladurie-Claire den Boer-Roland Fagel;9060196821;3.97
On the Road;Jack Kerouac-Ann Charters;142437255;3.63
On the Road;Jack Kerouac;140152199;3.63
Band of brothers (companhia de heróis);Stephen E. Ambrose-Milton Chaves de Almeida;8528609944;4.43
Undaunted Courage: The Pioneering First Mission to Explore America's Wild Frontier;Stephen E. Ambrose;074347788X;4.22
Undaunted Courage;Stephen E. Ambrose-Barrett Whitener;1415918090;4.22
Co. Aytch: A Confederate Memoir of the Civil War;Sam R. Watkins;684833247;4.13
Jonny Reb & Billy Yank;Alexander Hunter;1568520808;4.11
El Superzorro;Roald Dahl-Horacio Elena;9681907191;4.05
Fantastic Mr. Fox;Roald Dahl-Donald Chaffin;553150367;4.05
Fantastic Mr Fox;David Wood-Roald Dahl;057305133X;3.94
Fantastic Mr. Fox (Cover to Cover);Roald Dahl;1855495090;4.05
Sangre sabia;Flannery O'Connor-J.C. Santoyo;8437609704;3.86
Historia del rey transparente;Rosa Montero;8466318771;3.91
Bella y oscura;Rosa Montero;843221728X;3.63
La loca de la casa;Rosa Montero;9875780154;3.98
La Tía Julia y el Escribidor;Mario Vargas Llosa;987110619X;3.92
La tía Julia y el escribidor;Mario Vargas Llosa;8466302298;3.92
La Tía Julia y el Escribidor;Mario Vargas Llosa;8432203238;3.92
Narraciones Extraordinarias;Edgar Allan Poe;9583006408;4.16
Las Crónicas de Narnia;C.S. Lewis-Margarita E. Valdes-Gemma Gallart-Pauline Baynes;61199001;4.26
Crônicas De Nárnia;C.S. Lewis;8533622104;4.26
O Trono de Prata (As Crónicas de Nárnia  #6);C.S. Lewis-Ana Falcão Bastos;972233168X;3.96
A Última Batalha (As Crónicas de Nárnia  #7);C.S. Lewis-Pauline Baynes-Ana Falcão Bastos;9722332201;4.03
O Cavalo e o Seu Rapaz (As Crónicas de Nárnia  #3);C.S. Lewis-Pauline Baynes-Ana Falcão Bastos;9722330551;3.91
El príncipe Caspian (Las crónicas de Narnia  #4);C.S. Lewis;9561316706;3.97
O Sobrinho do Mágico (As Crónicas de Nárnia  #1);C.S. Lewis-Pauline Baynes-Ana Falcão Bastos;9722329987;4.03
O Leão  a Feiticeira e o Guarda-Roupa (As Crónicas de Nárnia  #2);C.S. Lewis-Pauline Baynes-Ana Falcão Bastos;9722330209;4.21
A Viagem do Caminheiro da Alvorada (As Crónicas de Nárnia  #5);C.S. Lewis-Pauline Baynes-Ana Falcão Bastos;9722331329;4.09
O Príncipe Caspian (As Crónicas de Nárnia  #4);C.S. Lewis-Pauline Baynes-Ana Falcão Bastos;9722330977;3.97
El príncipe Caspian (Las Crónicas de Narnia  #4);C.S. Lewis;9507320776;3.97
Whores for Gloria;William T. Vollmann;140231579;3.69
Expelled from Eden: A William T. Vollmann Reader;William T. Vollmann-Larry McCaffery-Michael Hemmingson;1560254416;4.05
You Bright and Risen Angels;William T. Vollmann;140110879;4.08
The Ice-Shirt;William T. Vollmann;140131965;3.96
Whores for Gloria;William T. Vollmann;330316478;3.69
Europe Central;William T. Vollmann;670033928;3.91
Poor People;William T. Vollmann;60878827;3.71
Entrevista com o vampiro (As Crônicas Vampirescas  #1);Anne Rice-Clarice Lispector;8532501028;3.99
Las aventuras de Tom Sawyer;Mark Twain;8497646983;3.91
Las aventuras de Tom Sawyer;Mark Twain-Fernando Santos Fontenla;8420636517;3.91
El Avaro / Don Juan;Molière;9506142386;3.13
La Divina Comedia (Clasicos Juveniles);Dante Alighieri-Francisco Jose Fernandez Defez;9706437398;4.07
Divina comedia;Dante Alighieri-Giorgio Petrocchi-Luis Martínez de Merlo;8437607299;4.07
La última niebla / El árbol;María Luisa Bombal;9561305658;3.78
La raza;Pío Baroja;8483103257;4.54
Fathers and Crows;William T. Vollmann;014016717X;4.28
The Rainbow Stories;William T. Vollmann;140171541;3.98
Thirteen Stories and Thirteen Epitaphs;William T. Vollmann;802133959;3.82
Butterfly Stories;William T. Vollmann;802134009;3.72
The Canterville Ghost;Oscar Wilde-Inga Moore;744549515;3.89
Vero y el fantasma de Canterville;Carlos Puerto-Jordi Vila Delclos;8426351808;2.5
The Canterville Ghost and Other Stories;Oscar Wilde-Donada  Peters;786171936;3.93
The Canterville Ghost;Oscar Wilde;1592241875;3.89
El Mismo Mar;Amos Oz;8478449590;3.8
The Canterville Ghost and Other Stories;Oscar Wilde;486419258;3.93
The Canterville Ghost;Oscar Wilde;1598182765;3.89
Black Tattoo;Sam Enthoven;1595141146;3.49
Carta de una desconocida;Stefan Zweig-Berta Conill;8495359472;4.17
Por quién doblan las campanas;Ernest Hemingway-Juan Villoro;9875661635;3.96
La campana;Iris Murdoch;8420644536;3.88
Glamourama;Bret Easton Ellis-Camila Batlles-Merce Lopez Arnabat;8440694407;3.46
Menos que cero;Bret Easton Ellis;8433920561;3.58
Las leyes de la atracción;Bret Easton Ellis;8433923323;3.69
Los Confidentes;Bret Easton Ellis;8440650345;3.37
Doctor Pasavento;Enrique Vila-Matas;8433968823;3.93
La niña del pelo raro;David Foster Wallace;9875662119;3.88
Open City #5: Change or Die;Daniel Pinchbeck-Thomas Beller-Jerome Badanes-Mary Gaitskill-Delmore Schwartz-David Foster Wallace-Irvine Welsh-Open City Magazine;1890447161;3.68
Girl With Curious Hair;David Foster Wallace;393313964;3.88
A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments;David Foster Wallace;349110018;4.27
Entrevistas breves con hombres repulsivos;David Foster Wallace;8439707177;3.87
Kleines Mädchen mit komischen Haaren;David Foster Wallace;3499231026;3.88
Kurze Interviews mit fiesen Männern.;David Foster Wallace-Marcus Ingenday;3462030795;3.87
Extinción;David Foster Wallace-Javier Calvo;8439713541;4.07
The Future of Fiction (Review of Contemporary Fiction Series Volume 16 Number 1);David Foster Wallace-John      O'Brien;1564783952;3.82
La niña del pelo raro;David Foster Wallace;8497596951;3.88
La niña del pelo raro;David Foster Wallace-Javier Calvo;8439704615;3.88
Signifying Rappers: Rap and Race in the Urban Present;David Foster Wallace-Mark Costello;880015357;3.32
Oxford American Writer's Thesaurus;Christine A. Lindberg-David Auburn-Simon Winchester-Michael Dirda-David Lehman-Stephin Merritt-Francine Prose-Zadie Smith-Jean Strouse-David Foster Wallace;739456318;4.61
Feynman's Rainbow: A Search for Beauty in Physics and in Life;Leonard Mlodinow;446692514;4.0
Feynman's Rainbow: A Search for Beauty in Physics and in Life;Leonard Mlodinow-Michael Prichard;736694048;4.0
In Pharaoh's Army: memories of a lost war;Tobias Wolff;330340190;4.08
Complete Novels: The Heart Is a Lonely Hunter / Reflections in a Golden Eye / The Ballad of the Sad Cafe / The Member of the Wedding / Clock Without Hands;Carson McCullers-Carlos L. Dews;1931082030;4.38
Collected Stories;Carson McCullers;395925053;4.3
The Ballad of the Sad Café and Other Stories;Carson McCullers;618565868;4.02
The Murders in the Rue Morgue: The Dupin Tales (C. Auguste Dupin  #1-3);Edgar Allan Poe-Matthew Pearl;679643427;3.87
La tabla de Flandes;Arturo Pérez-Reverte;8497592654;3.8
La tabla de Flandes;Arturo Pérez-Reverte;8420480797;3.8
Rebeldes;S.E. Hinton-Miguel Martinez-Lage;159437807X;4.08
El hombre rebelde;Albert Camus;8420672386;4.15
Johnny Depp. Un rebelde moderno;Brian J. Robb;8496222640;3.74
Quo Vadis;Henryk Sienkiewicz;157748777X;4.15
Quo Vadis;Henryk Sienkiewicz;1934169072;4.15
Quo Vadis;Henryk Sienkiewicz;1934169064;4.15
Quo Vadis: A Story of Faith in the Last Days of the Roman Empire;Henryk Sienkiewicz;1561797952;4.15
The Anatomy Coloring Book;Wynn Kapit-Lawrence M. Elson;805350861;4.25
Human Anatomy & Physiology;Elaine N. Marieb;805359095;4.0
Anatomy & Physiology Coloring Workbook: A Complete Study Guide;Elaine N. Marieb;805372768;3.94
Borderlands/La Frontera: The New Mestiza;Gloria E. Anzaldúa;1879960745;4.28
EntreMundos/AmongWorlds: New Perspectives on Gloria Anzaldúa;AnaLouise Keating;1403967210;4.47
This Bridge Called My Back: Writings by Radical Women of Color;Cherríe L. Moraga-Gloria E. Anzaldúa;943219221;4.47
The Mapmaker's Wife: A True Tale of Love  Murder and Survival in the Amazon;Robert  Whitaker;553815393;3.59
Sacred Ground;Barbara Wood;751531561;3.87
The Blessing Stone;Barbara Wood;312320248;3.97
Sturmjahre;Barbara Wood;3596505968;4.14
Crónicas marcianas;Ray Bradbury-Francisco Abelenda-Jorge Luis Borges;8445073850;4.13
Soul Mountain;Gao Xingjian-Mabel Lee;60936231;3.58
La montaña del alma;Gao Xingjian-José Ramón Monreal-Yanping Liao-Liao Yanping;8484530442;3.58
The Blind Owl;Sadegh Hedayat-D.P. Costello;802131808;3.98
The Book of Disquiet;Fernando Pessoa-Maria José de Lancastre-Margaret Jull Costa;1852427582;4.47
The Book of Disquiet;Fernando Pessoa-Richard Zenith;141183047;4.47
Eldest (The Inheritance Cycle  #2);Christopher Paolini;375840400;3.98
Origins: The Art of John Jude Palencar;John Jude Palencar-Arnie Fenner-Cathy Fenner-Christopher Paolini;1599290049;4.34
Dostoevsky: The Seeds of Revolt  1821–1849;Joseph Frank;691062609;4.29
Seva: Historia de la primera invasión norteamericana de la isla de Puerto Rico ocurrida en mayo de 1898;Luis López Nieves;884951944;4.38
Citizen Jane: A True Story of Money  Murder  and one Woman's Mission to;James Dalessandro-David Menhart-Jane  Alexander;451409043;3.98
Critique of Cynical Reason;Peter Sloterdijk-Michael Eldred;816615861;4.29
Globen (Sphären  #2);Peter Sloterdijk;3518410539;4.43
